tow; prn12; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
518576.654; 24; 1308105.06348; 391208.9404296875; -2748.0107421875; -2744.92; -3.08607; 0; 0; -0; -0; 0; -2604.96; -1945.26; -143.055; -139.969; 0.77754; 0.11375
518577.654; 24; 1308628.61914; 393957.6513671875; -2748.7109375; -2751.3; 2.59265; 0; 0; -0; -0; 0; -2605.4; -1945.59; -143.313; -145.906; 1.1375; -0.0236855
518578.654; 24; 1309151.54492; 396706.9755859375; -2749.32421875; -2747.99; -1.33069; 0; 0; -0; -0; 0; -2605.84; -1945.92; -143.484; -142.153; 0.874447; -0.0329227
518579.654; 24; 1309674.77441; 399455.9931640625; -2749.017578125; -2749.59; 0.571962; 0; 0; -0; -0; 0; -2606.28; -1946.25; -142.735; -143.307; 1.00237; -0.0166677
518580.654; 24; 1310197.97559; 402205.1982421875; -2749.205078125; -2749.44; 0.235637; 0; 0; -0; -0; 0; -2606.72; -1946.58; -142.48; -142.716; 0.904767; -0.156265
518581.654; 24; 1310721.10059; 404954.9052734375; -2749.70703125; -2749.04; -0.666602; 0; 0; -0; -0; 0; -2607.17; -1946.91; -142.54; -141.873; 0.997839; 0.0585848
518582.654; 24; 1311244.87402; 407706.0888671875; -2751.18359375; -2752.45; 1.2644; 0; 0; -0; -0; 0; -2607.61; -1947.24; -143.574; -144.839; 1.12677; -0.0548535
518583.654; 24; 1311768.45117; 410458.4736328125; -2752.384765625; -2751.42; -0.96828; 0; 0; -0; -0; 0; -2608.05; -1947.57; -144.334; -143.365; 1.20545; 0.201615
518584.654; 24; 1312292.41504; 413211.2177734375; -2752.744140625; -2753.45; 0.704566; 0; 0; -0; -0; 0; -2608.49; -1947.9; -144.251; -144.956; 1.18116; 0.0428343
518585.654; 24; 1312816.24121; 415964.4541015625; -2753.236328125; -2752.73; -0.511216; 0; 0; -0; -0; 0; -2608.94; -1948.23; -144.301; -143.79; 0.972486; -0.0675822
518586.654; 24; 1313340.93066; 418717.0048828125; -2752.55078125; -2757.26; 4.7109; 0; 0; -0; -0; 0; -2609.38; -1948.56; -143.174; -147.885; 1.91314; -0.0166452
518587.654; 24; 1313863.89844; 421470.4326171875; -2753.427734375; -2748.21; -5.21354; 0; 0; -0; -0; 0; -2609.82; -1948.89; -143.609; -138.396; 0.946467; 0.00886705
518588.654; 24; 1314388.25195; 424223.94140625; -2753.5087890625; -2755.5; 1.98753; 0; 0; -0; -0; 0; -2610.26; -1949.22; -143.248; -145.236; 1.33412; 0.0165512
518589.654; 24; 1314912.15918; 426977.4462890625; -2753.5048828125; -2753.15; -0.353825; 0; 0; -0; -0; 0; -2610.7; -1949.55; -142.803; -142.449; 1.39811; 0.148378
518590.654; 24; 1315435.82617; 429730.1669921875; -2752.720703125; -2751.89; -0.832085; 0; 0; -0; -0; 0; -2611.14; -1949.88; -141.577; -140.745; 1.34368; 0.251855
518591.654; 24; 1315959.92969; 432483.8828125; -2753.7158203125; -2754.18; 0.466743; 0; 0; -0; -0; 0; -2611.59; -1950.21; -142.131; -142.597; 1.17868; -0.00630226
518592.654; 24; 1316484.31836; 435239.033203125; -2755.150390625; -2755.68; 0.530679; 0; 0; -0; -0; 0; -2612.03; -1950.54; -143.124; -143.655; 1.2537; -0.0302889
518593.654; 24; 1317008.37207; 437994.353515625; -2755.3203125; -2753.92; -1.39947; 0; 0; -0; -0; 0; -2612.47; -1950.87; -142.852; -141.453; 1.0075; -0.0126623
518594.654; 24; 1317533.00781; 440750.5068359375; -2756.1533203125; -2756.98; 0.826113; 0; 0; -0; -0; 0; -2612.91; -1951.2; -143.244; -144.07; 1.23347; 0.0602965
518595.654; 24; 1318056.79199; 443506.861328125; -2756.3544921875; -2752.5; -3.85005; 0; 0; -0; -0; 0; -2613.35; -1951.53; -143.004; -139.154; 0.491275; 0.0482064
518596.654; 24; 1318582.10742; 446263.9052734375; -2757.0439453125; -2760.55; 3.50727; 0; 0; -0; -0; 0; -2613.79; -1951.86; -143.252; -146.759; 0.916596; -0.194074
518597.654; 24; 1319106.99121; 449022.5244140625; -2758.619140625; -2758.28; -0.336212; 0; 0; -0; -0; 0; -2614.23; -1952.19; -144.386; -144.05; 1.14963; 0.102135
518598.654; 24; 1319632.25293; 451781.7236328125; -2759.19921875; -2760.27; 1.06974; 0; 0; -0; -0; 0; -2614.67; -1952.52; -144.525; -145.595; 1.44522; 0.193096
518599.654; 24; 1320157.28809; 454541.1181640625; -2759.39453125; -2759.08; -0.316163; 0; 0; -0; -0; 0; -2615.12; -1952.85; -144.279; -143.963; 1.24492; 0.053059
518600.654; 24; 1320682.71484; 457300.880859375; -2759.7626953125; -2761.14; 1.37355; 0; 0; -0; -0; 0; -2615.56; -1953.17; -144.207; -145.58; 1.61605; 0.157929
518601.654; 24; 1321207.23926; 460060.923828125; -2760.04296875; -2756.39; -3.64857; 0; 0; -0; -0; 0; -2616; -1953.5; -144.046; -140.397; 0.635982; -0.131567
518602.654; 24; 1321732.89062; 462823.046875; -2762.123046875; -2762.32; 0.193532; 0; 0; -0; -0; 0; -2616.44; -1953.83; -145.685; -145.879; 0.976825; 0.169369
518603.654; 24; 1322258.39648; 465585.513671875; -2762.466796875; -2761.55; -0.914867; 0; 0; -0; -0; 0; -2616.88; -1954.16; -145.588; -144.673; 0.685807; 0.0526776
518604.654; 24; 1322784.6709; 468347.40625; -2761.892578125; -2765.59; 3.69813; 0; 0; -0; -0; 0; -2617.32; -1954.49; -144.573; -148.271; 1.12439; -0.212911
518605.654; 24; 1323310.25879; 471109.4365234375; -2762.0302734375; -2761.98; -0.0472664; 0; 0; -0; -0; 0; -2617.76; -1954.82; -144.27; -144.223; 1.51213; 0.182648
518606.654; 24; 1323835.45898; 473871.787109375; -2762.3505859375; -2759.95; -2.40493; 0; 0; -0; -0; 0; -2618.2; -1955.15; -144.15; -141.745; 1.10248; 0.229311
518607.654; 24; 1324361.29004; 476634.982421875; -2763.1953125; -2763.26; 0.0655304; 0; 0; -0; -0; 0; -2618.64; -1955.48; -144.554; -144.62; 0.983192; 0.0930618
518608.654; 24; 1324886.37012; 479398.142578125; -2763.16015625; -2759.31; -3.84572; 0; 0; -0; -0; 0; -2619.08; -1955.81; -144.079; -140.233; 0.0939519; -0.0663487
518609.654; 24; 1325412.70898; 482162.9091796875; -2764.7666015625; -2765.93; 1.16281; 0; 0; -0; -0; 0; -2619.52; -1956.14; -145.245; -146.407; 0.691636; 0.303095
518610.654; 24; 1325939.44531; 484926.126953125; -2763.2177734375; -2768.02; 4.80031; 0; 0; -0; -0; 0; -2619.96; -1956.47; -143.256; -148.056; 1.21895; -0.0803047
518611.654; 24; 1326465.63574; 487691.09375; -2764.966796875; -2765.15; 0.182574; 0; 0; -0; -0; 0; -2620.4; -1956.79; -144.564; -144.747; 1.28866; -0.0487302
518612.654; 24; 1326991.15918; 490456.443359375; -2765.349609375; -2761.64; -3.70531; 0; 0; -0; -0; 0; -2620.84; -1957.12; -144.507; -140.802; 0.790584; 0.154014
518613.654; 24; 1327518.47852; 493222.6240234375; -2766.1806640625; -2771.08; 4.90115; 0; 0; -0; -0; 0; -2621.28; -1957.45; -144.898; -149.799; 1.83403; 0.266196
518614.654; 24; 1328044.5625; 495989.4326171875; -2766.80859375; -2764.59; -2.2186; 0; 0; -0; -0; 0; -2621.72; -1957.78; -145.086; -142.867; 1.11664; -0.0283034
518615.654; 24; 1328570.76855; 498756.224609375; -2766.7919921875; -2765.23; -1.56051; 0; 0; -0; -0; 0; -2622.16; -1958.11; -144.629; -143.068; 0.915335; 0.0662547
518616.654; 24; 1329097.08594; 501523.427734375; -2767.203125; -2765.82; -1.38661; 0; 0; -0; -0; 0; -2622.6; -1958.44; -144.6; -143.213; 0.538028; -0.0477475
518617.654; 24; 1329623.94824; 504290.88671875; -2767.458984375; -2768.68; 1.22111; 0; 0; -0; -0; 0; -2623.04; -1958.77; -144.416; -145.637; 0.923295; 0.100294
518618.654; 24; 1330150.86035; 507059.4814453125; -2768.5947265625; -2768.94; 0.347097; 0; 0; -0; -0; 0; -2623.48; -1959.09; -145.112; -145.459; 0.903675; 0.0121131
518619.654; 24; 1330678.02734; 509827.9248046875; -2768.443359375; -2770.28; 1.83788; 0; 0; -0; -0; 0; -2623.92; -1959.42; -144.521; -146.359; 1.43469; 0.191731
