tow; prn2; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph) 
518416.676; 6; -268717.518555; -627.046875; 35.3710937170581; 36.5047; -1.13361; 0; 0; -0; -0; 0; 35.3067; 26.3654
518416.826; 6; -268718.472656; -632.333984375; 35.2473958552178; 33.4256; 1.82181; 0; 0; -0; -0; 0; 35.2043; 26.2889
518416.976; 6; -268719.581055; -637.609375; 35.1692708551693; 38.8312; -3.66188; 0; 0; -0; -0; 0; 35.1019; 26.2125
518417.126; 6; -268720.414062; -642.8701171875; 35.0716145506703; 29.1832; 5.88838; 0; 0; -0; -0; 0; 34.9996; 26.1361
518417.276; 6; -268721.428711; -648.111328125; 34.9414062716945; 35.5468; -0.605351; 0; 0; -0; -0; 0; 34.8972; 26.0596
518417.426; 6; -268722.424805; -653.3388671875; 34.8502603842098; 34.8967; -0.0464595; 0; 0; -0; -0; 0; 34.7948; 25.9832
518417.576; 6; -268723.290039; -658.5537109375; 34.7656250215853; 30.3122; 4.45338; 0; 0; -0; -0; 0; 34.6925; 25.9067
518417.726; 6; -268724.157227; -663.7490234375; 34.6354166881712; 30.3807; 4.25474; 0; 0; -0; -0; 0; 34.5901; 25.8303
518417.876; 6; -268724.960938; -668.9306640625; 34.5442708011615; 28.1569; 6.38741; 0; 0; -0; -0; 0; 34.4877; 25.7538
518418.026; 6; -268725.987305; -674.0986328125; 34.4531250213913; 35.9573; -1.50418; 0; 0; -0; -0; 0; 34.3854; 25.6774
518418.176; 6; -268726.865234; -679.251953125; 34.355468718004; 30.757; 3.59846; 0; 0; -0; -0; 0; 34.283; 25.601
518418.326; 6; -268727.942383; -684.3857421875; 34.2252604379165; 37.7364; -3.51109; 0; 0; -0; -0; 0; 34.1807; 25.5245
518418.476; 6; -268729.027344; -689.5048828125; 34.1276041878559; 38.0101; -3.88245; 0; 0; -0; -0; 0; 34.0783; 25.4481
518418.626; 6; -268729.859375; -694.61230468749988631; 34.0494791349549; 29.149; 4.90045; 0; 0; -0; -0; 0; 33.976; 25.3717
518418.776; 6; -268730.762695; -699.7001953125; 33.9192708543939; 31.6465; 2.27274; 0; 0; -0; -0; 0; 33.8736; 25.2952
518418.926; 6; -268731.818359; -704.77734375000011369; 33.8476562184777; 36.9837; -3.13602; 0; 0; -0; -0; 0; 33.7712; 25.2188
