time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]
518433.252001; 0.357315; 0.0264592; 2.7419; -1.19068; 0.0636641
518433.402001; 0.358689; 0.0243801; 2.74195; -1.11725; 0.0768301
518433.552001; 0.360177; 0.0232977; 2.74199; -1.061; 0.0916637
518433.702001; 0.361597; 0.0229102; 2.74204; -1.03207; 0.0649795
518433.852001; 0.362739; 0.0232256; 2.74208; -0.954858; 0.0727272
518434.002001; 0.364902; 0.0239552; 2.74212; -0.965026; 0.0731579
518434.152001; 0.367402; 0.0247985; 2.74217; -0.924057; 0.0833034
518434.302001; 0.369632; 0.0258568; 2.74221; -0.893313; 0.0802711
518434.452001; 0.369717; 0.027025; 2.74226; -0.773936; 0.0650234
518434.602001; 0.369074; 0.0281046; 2.7423; -0.648814; 0.0615299
518434.752001; 0.369136; 0.0286105; 2.74234; -0.457076; 0.0531117
518434.902001; 0.371135; 0.0273913; 2.74239; -0.861222; 0.0789301
518435.052001; 0.372101; 0.0263599; 2.74243; -0.558397; 0.0452204
518435.202001; 0.373753; 0.0252041; 2.74248; -0.637781; 0.0428364
518435.352001; 0.376787; 0.0242714; 2.74252; -0.726948; 0.0668495
518435.502001; 0.378828; 0.0236027; 2.74256; -0.657208; 0.0819799
518435.652001; 0.377559; 0.0233426; 2.74261; -0.157337; 0.0564226
518435.802001; 0.375243; 0.023486; 2.74265; 0.369218; 0.0167656
518435.952001; 0.371828; 0.0239505; 2.7427; 0.632939; -0.0269682
518436.102001; 0.366472; 0.0250678; 2.74274; 1.16314; -0.0469019
518436.252001; 0.361565; 0.0268453; 2.74278; 1.32818; -0.0404628
518436.402001; 0.357833; 0.0289504; 2.74283; 1.13652; -0.0325524
518436.552001; 0.35408; 0.031384; 2.74287; 1.2258; -0.0281436
518436.702001; 0.348489; 0.0340976; 2.74292; 1.44718; -0.0237865
518436.852001; 0.344679; 0.0361825; 2.74296; 1.06796; 0.0223831
518437.002001; 0.33993; 0.0382246; 2.743; 1.14706; 0.0256551
518437.152001; 0.335619; 0.0396565; 2.74305; 0.877268; -0.0187214
518437.302001; 0.332951; 0.0408151; 2.74309; 0.654186; -0.0173743
518437.452001; 0.330585; 0.041693; 2.74314; 0.451506; 0.0161314
518437.602001; 0.32884; 0.0423378; 2.74318; 0.367448; 0.0313747
518437.752001; 0.326664; 0.0429001; 2.74322; 0.270112; 0.03122
518437.902001; 0.32569; 0.0432077; 2.74327; 0.18989; -0.0206537
518438.052001; 0.323944; 0.0434348; 2.74331; 0.270977; 0.0189986
518438.202001; 0.321184; 0.0444448; 2.74336; 0.617926; -0.0226944
518438.352001; 0.320433; 0.0454627; 2.7434; 0.453214; 0.0151116
518438.502001; 0.319879; 0.0455193; 2.74344; -0.485843; -0.0247646
518438.652001; 0.318786; 0.0442341; 2.74349; 0.430085; 0.0278189
518438.802001; 0.316374; 0.0422648; 2.74353; 0.462871; -0.0321768
518438.952001; 0.313649; 0.040201; 2.74358; 0.499874; -0.06201
518439.102001; 0.309627; 0.0382709; 2.74362; 0.633384; -0.0883513
518439.252001; 0.305358; 0.0359532; 2.74366; 0.749485; -0.0678905
518439.402001; 0.301154; 0.0339289; 2.74371; 0.872735; -0.105912
518439.552001; 0.294733; 0.0333523; 2.74375; 0.990113; -0.11555
