time;bias-band1;bias-band2
259645.366;-57.3908977533;-209.575813385
259646.366;-57.3715607669;-209.158690058
259647.366;-57.5579941465;-208.741557598
259648.366;-57.3829743879;-208.324451528
259649.366;-57.1475284776;-207.907283248
259650.366;-57.2900916289;-207.490157969
259651.366;-56.8061824217;-207.073006508
259652.366;-56.7545871942;-206.655847233
259653.366;-57.0202344586;-206.238691762
259654.366;-57.1607620618;-205.821539204
259655.366;-57.088385709;-205.404382471
259656.366;-57.2460142461;-204.98720183
259657.366;-57.2125968257;-204.570038393
259658.366;-57.2264035043;-204.152864386
259659.366;-57.3764358177;-203.735660587
259660.366;-57.3069411268;-203.318481543
259661.366;-57.2504975822;-202.901297111
259662.366;-57.2567035623;-202.484094668
259663.366;-57.0490894207;-202.066885959
259664.366;-56.9637291459;-201.649697986
259665.366;-57.2665555242;-201.232468224
259666.366;-57.4429372169;-200.815250951
259667.366;-57.2287273291;-200.39801925
259668.366;-57.0407489376;-199.980810369
259669.366;-56.9561375631;-199.563581446
259670.366;-57.2221183479;-199.146339572
259671.366;-57.3684951993;-198.729102713
259672.366;-57.1058930473;-198.311866233
259673.366;-56.6316955523;-197.89460782
259674.366;-56.8714821423;-473.633437425
259675.366;-56.8828536157;-473.191409336
259676.366;-56.8492931897;-472.749371817
259677.366;-56.6321622318;-472.307311043
259678.366;-56.5816554603;-471.865241198
259679.366;-56.4626099572;180.577968152
259680.366;-56.3279674432;180.965100344
259681.366;-56.5526852915;181.356685635
259682.366;-56.7356279032;181.74828051
259683.366;-56.6662755277;182.139859532
259684.366;-56.6766242432;-469.212495582
259685.366;-56.6338497417;-468.770303003
259686.366;-56.5303507719;-468.32812524
259687.366;-56.5776286122;-467.885889708
259688.366;-56.7816023446;-467.443698326
259689.366;-56.869201651;-467.001480876
259690.366;-56.8934819205;-466.559196542
259691.366;-56.7647060093;-466.116970079
259692.366;-56.9431395567;-465.67467804
259693.366;-56.960650463;-465.232378606
259694.366;-56.949290741;-464.790061039
259695.366;-57.0930335095;-464.347751513
259696.366;-57.0568631025;-463.90539816
259697.366;-56.8623706852;-463.463049473
259698.366;-57.1789913451;-463.02068231
259699.366;-57.1782794419;-462.578314249
259700.366;-57.1929779003;-462.135914141
259701.366;-56.9879877343;-461.69350358
259702.366;-56.9175953132;-461.251086436
259703.366;-57.0608802851;-460.808653198
259704.366;-57.2278035345;-460.366198923
259705.366;-57.1105658912;-459.923711739
259706.366;-57.0201373266;-459.481262189
259707.366;-57.3469007449;-459.038765402
