tm; prn; seq_fract; phase
78830; 12; 0.796289275633; 243155.676758
78830; 24; 0.227818759391; 391732.28418
78830; 14; 0.420916287694; 137815.115234
78830; 25; 0.972492038039; 162455.333008
79830; 12; 0.795136853354; 246284.224609
79830; 24; 0.225276681595; 397068.085938
79830; 14; 0.419886022108; 140738.833008
79830; 25; 0.972922112327; 163092.524414
80830; 12; 0.793986481847; 249414.37207
80830; 24; 0.222717402736; 402405.478516
80830; 14; 0.418867832515; 143664.363281
80830; 25; 0.973348117899; 163731.198242
80830; 8; 0.612616645405; -5385.72265625
81830; 12; 0.792834553635; 252544.737305
81830; 24; 0.220168050379; 407743.09375
81830; 14; 0.417848882498; 146590.320312
81830; 25; 0.973770591663; 164369.987305
81830; 8; 0.621586815687; -11312.5927734
82830; 12; 0.791674339445; 255674.765625
82830; 24; 0.217614381108; 413080.382812
82830; 14; 0.416821878403; 149516.150391
82830; 25; 0.974208797328; 165008.323242
82830; 8; 0.61759486096; -17260.8212891
83830; 12; 0.79053438874; 258804.301758
83830; 24; 0.215064907912; 418417.170898
83830; 14; 0.415795913665; 152441.696289
83830; 25; 0.97463879874; 165646.055664
83830; 8; 0.650594038423; -23272.4863281
84830; 12; 0.789373619016; 261934.795898
84830; 24; 0.212503446732; 423754.914062
84830; 14; 0.414778323844; 155368.412109
84830; 25; 0.975063948426; 166284.632812
84830; 8; 0.695829491829; -29337.3632812
85830; 12; 0.788227051962; 265065.480469
85830; 24; 0.209943359252; 429092.852539
85830; 14; 0.413757114904; 158295.53125
85830; 25; 0.975490500685; 166923.273438
86830; 12; 0.787061245181; 268196.666992
86830; 24; 0.207392086741; 434431.304688
86830; 14; 0.412727971328; 161223.367188
86830; 25; 0.975917488569; 167562.319336
87830; 12; 0.785919653252; 271328.789062
87830; 24; 0.204846529989; 439770.678711
87830; 14; 0.411704944214; 164152.337891
87830; 25; 0.976349932142; 168202.180664
88830; 12; 0.784762735479; 274460.084961
88830; 24; 0.202278130222; 445109.235352
88830; 14; 0.410673653008; 167080.708984
88830; 25; 0.976779166143; 168841.109375
89830; 12; 0.783611683408; 277592.083984
89830; 24; 0.199735308299; 450448.493164
89830; 14; 0.409668815555; 170009.976562
89830; 25; 0.977200629888; 169480.615234
90830; 12; 0.782448243117; 280724.441406
90830; 24; 0.197175517213; 455788.110352
90830; 14; 0.408620256698; 172939.830078
90830; 25; 0.977639331482; 170120.374023
91830; 12; 0.781304677017; 283854.177734
91830; 24; 0.194619567133; 461125.105469
91830; 14; 0.407621354796; 175867.268555
91830; 25; 0.978066430194; 170757.407227
92830; 12; 0.78014528635; 286985.05957
92830; 24; 0.192063611932; 466463.249023
92830; 14; 0.406576462789; 178796.054688
92830; 25; 0.97849508049; 171395.455078
92830; 29; 0.308840921381; -9442.68945312
93830; 12; 0.778992283856; 290117.716797
93830; 24; 0.189506916329; 471803.169922
93830; 14; 0.405558732105; 181726.833008
93830; 25; 0.978928309632; 172035.176758
93830; 29; 0.335999768227; -18992.7119141
94830; 12; 0.777832613094; 293251.55957
94830; 24; 0.186952380463; 477144.271484
94830; 14; 0.404534738278; 184659.013672
94830; 25; 0.979347191285; 172675.963867
94830; 29; 0.345948771574; -28553.3779297
95830; 12; 0.77668079338; 296384.695312
95830; 24; 0.184402554762; 482484.681641
95830; 14; 0.403495186241; 187590.68457
95830; 25; 0.979778463719; 173315.943359
95830; 29; 0.332116126781; -38096.4365234
96830; 12; 0.775524604833; 299518.543945
96830; 24; 0.181840190198; 487825.786133
96830; 14; 0.40247484576; 190523.293945
96830; 25; 0.980201923056; 173956.509766
96830; 29; 0.323170449818; -47641.1748047
97830; 12; 0.774372905958; 302652.821289
97830; 24; 0.179288847605; 493167.331055
97830; 14; 0.401455898071; 193456.532227
97830; 25; 0.980634325184; 174597.399414
98830; 12; 0.773209063802; 305787.693359
98830; 24; 0.176732376684; 498509.469727
98830; 14; 0.400420074584; 196390.581055
98830; 25; 0.981065558968; 175238.771484
98830; 2; 0.115212043049; 760.271484375
99830; 12; 0.77206078032; 308924.730469
99830; 24; 0.174173324136; 503853.763672
99830; 14; 0.399381624302; 199327.009766
99830; 25; 0.981479652924; 175882.185547
99830; 2; 0.115549123613; 1220.33886719
100830; 12; 0.770898497198; 312063.40918
100830; 24; 0.171612396138; 509199.713867
100830; 14; 0.398356350372; 202265.28418
100830; 25; 0.981904957211; 176527.140625
100830; 2; 0.116036057938; 1682.29980469
101830; 12; 0.769741357071; 315202.504883
101830; 24; 0.169051619014; 514546.070312
101830; 14; 0.397330009611; 205204.188477
101830; 25; 0.982336698333; 177172.400391
101830; 2; 0.116551973624; 2144.74707031
102830; 12; 0.768578019692; 318342.94043
102830; 24; 0.166477838997; 519893.779297
102830; 14; 0.396297675325; 208144.649414
102830; 25; 0.98274348909; 177818.886719
102830; 2; 0.116955658188; 2607.90136719
103830; 12; 0.767419292359; 321482.783203
103830; 24; 0.163928351365; 525240.884766
103830; 14; 0.395254252711; 211084.71582
103830; 25; 0.983178262599; 178464.65332
104830; 12; 0.766264236299; 324623.956055
104830; 24; 0.161372497445; 530589.324219
104830; 14; 0.394233537139; 214026.337891
104830; 25; 0.98360706633; 179111.658203
105830; 12; 0.765099372715; 327767.155273
105830; 24; 0.158801556798; 535939.78418
105830; 14; 0.39318435872; 216970.188477
105830; 25; 0.984035543166; 179760.571289
106830; 12; 0.763934167102; 330908.449219
106830; 24; 0.156246166211; 541288.34668
106830; 14; 0.39216857031; 219912.34082
106830; 25; 0.984449991956; 180407.452148
107830; 12; 0.762781736441; 334049.614258
107830; 24; 0.153689523693; 546636.777344
107830; 14; 0.391120611923; 222854.582031
107830; 25; 0.984861471457; 181054.105469
108830; 12; 0.761627084343; 337192.735352
108830; 24; 0.151120340219; 551987.162109
108830; 14; 0.390112363966; 225798.991211
108830; 25; 0.985295735067; 181702.602539
109830; 12; 0.76046209503; 340336.871094
109830; 24; 0.148556231754; 557338.56543
109830; 14; 0.38906281814; 228744.625977
109830; 25; 0.985719532706; 182351.999023
110830; 12; 0.759294562973; 343480.158203
110830; 24; 0.146004071925; 562689.113281
110830; 14; 0.388018516125; 231689.613281
110830; 25; 0.986148776021; 183000.427734
111830; 12; 0.758139156736; 346623.449219
111830; 24; 0.143443831243; 568039.668945
111830; 14; 0.386994187953; 234634.824219
111830; 25; 0.986568061635; 183648.760742
112830; 12; 0.756972626783; 349767.295898
112830; 24; 0.140876632649; 573390.789062
112830; 14; 0.385950869415; 237580.806641
112830; 25; 0.986991876736; 184297.537109
113830; 12; 0.755817553028; 352911.173828
113830; 24; 0.138311081333; 578741.925781
113830; 14; 0.384921491379; 240527.018555
113830; 25; 0.987412137212; 184946.223633
114830; 12; 0.754654446384; 356052.668945
114830; 24; 0.135752345901; 584090.686523
114830; 14; 0.383881792892; 243471.069336
114830; 25; 0.987841189606; 185592.421875
115830; 12; 0.753495403798; 359195.53418
115830; 24; 0.133192356676; 589440.810547
115830; 14; 0.382851489354; 246416.691406
115830; 25; 0.988266515546; 186239.874023
116830; 12; 0.752331837546; 362338.494141
116830; 24; 0.130631810986; 594791.03418
