prog start
hv ver: 3.4
F_SAMPLE = 222111
   idx;  inp_i;  inp_q;  out_i;  out_q;   ref_i; ref_q;     ok
   216;      1;     -3;      5;      5;      5;      5;      1 
   217;      1;     -3;      5;      5;      5;      5;      1 
   218;      1;     -3;      5;      5;      5;      5;      1 
   219;      1;     -3;      5;      5;      5;      5;      1 
   220;      1;     -3;      5;      5;      5;      5;      1 
   221;      1;     -3;      5;      5;      5;      5;      1 
   222;      1;     -3;      5;      5;      5;      5;      1 
   223;      1;     -3;      5;      5;      5;      5;      1 
   224;      1;     -3;      5;      5;      5;      5;      1 
   225;      1;     -3;      5;      5;      5;      5;      1 
   226;      1;     -3;      5;      5;      5;      5;      1 
   227;      1;     -3;      5;      5;      5;      5;      1 
   228;      1;     -3;      5;      5;      5;      5;      1 
   229;      1;     -3;      5;      5;      5;      5;      1 
   230;      1;     -3;      5;      5;      5;      5;      1 
   231;      1;     -3;      5;      5;      5;      5;      1 
   232;      1;     -3;      5;      5;      5;      5;      1 
   233;      1;     -3;      5;      5;      5;      5;      1 
   234;      1;     -3;      5;      5;      5;      5;      1 
   235;      1;     -3;      5;      5;      5;      5;      1 
   236;      1;     -3;      5;      5;      5;      5;      1 
   237;      1;     -3;      5;      5;      5;      5;      1 
   238;      1;     -3;      5;      5;      5;      5;      1 
   239;      1;     -3;      5;      5;      5;      5;      1 
   240;      1;     -3;      5;      5;      5;      5;      1 
   241;      1;     -3;      5;      5;      5;      5;      1 
   242;      1;     -3;      5;      5;      5;      5;      1 
   243;      1;     -3;      5;      5;      5;      5;      1 
   244;      1;     -3;      5;      5;      5;      5;      1 
   245;      1;     -3;      5;      5;      5;      5;      1 
   246;      1;     -3;      5;      5;      5;      5;      1 
   247;      1;     -3;      5;      5;      5;      5;      1 
   248;      1;     -3;      5;      5;      5;      5;      1 
   249;      1;     -3;      5;      5;      5;      5;      1 
   250;      1;     -3;      5;      5;      5;      5;      1 
   251;     -1;     -3;      7;      1;      5;      5;      0 
   252;     -1;     -3;      5;      5;      5;      5;      1 
   253;     -1;     -3;      5;      5;      5;      5;      1 
   254;     -1;     -3;      5;      5;      5;      5;      1 
   255;     -1;     -3;      5;      5;      5;      5;      1 
   256;     -1;     -3;      5;      5;      5;      5;      1 
   257;     -1;     -3;      5;      5;      5;      5;      1 
   258;     -1;     -3;      5;      5;      5;      5;      1 
   259;     -1;     -3;      5;      5;      5;      5;      1 
   260;     -1;     -3;      5;      5;      5;      5;      1 
   261;     -1;     -3;      5;      5;      5;      5;      1 
   262;     -1;     -3;      5;      5;      5;      5;      1 
   263;     -1;     -3;      5;      5;      5;      5;      1 
   264;     -1;     -3;      5;      5;      5;      5;      1 
   265;     -1;     -3;      5;      5;      5;      5;      1 
   266;     -1;     -3;      5;      5;      5;      5;      1 
   267;     -1;     -3;      5;      5;      5;      5;      1 
   268;     -1;     -3;      5;      5;      5;      5;      1 
   269;     -1;     -3;      5;      5;      5;      5;      1 
   270;     -1;     -3;      5;      5;      5;      5;      1 
   271;     -1;     -3;      5;      5;      5;      5;      1 
   272;     -1;     -3;      5;      5;      5;      5;      1 
   273;     -1;     -3;      5;      5;      5;      5;      1 
   274;     -1;     -3;      5;      5;      5;      5;      1 
   275;     -1;     -3;      5;      5;      5;      5;      1 
   276;     -1;     -3;      5;      5;      5;      5;      1 
   277;     -1;     -3;      5;      5;      5;      5;      1 
   278;     -1;     -3;      5;      5;      5;      5;      1 
   279;     -1;     -3;      5;      5;      5;      5;      1 
   280;     -1;     -3;      5;      5;      5;      5;      1 
   281;     -1;     -3;      5;      5;      5;      5;      1 
   282;     -1;     -3;      5;      5;      5;      5;      1 
   283;     -1;     -3;      5;      5;      5;      5;      1 
   284;     -1;     -3;      5;      5;      5;      5;      1 
   285;     -1;     -3;      5;      5;      5;      5;      1 
   286;     -1;     -3;      5;      5;      5;      5;      1 
   287;     -1;     -3;      5;      5;      5;      5;      1 
   288;     -1;     -3;      5;      5;      5;      5;      1 
   289;     -1;     -3;      5;      5;      5;      5;      1 
   290;     -1;     -3;      5;      5;      5;      5;      1 
   291;     -1;     -3;      5;      5;      5;      5;      1 
   292;     -1;     -3;      5;      5;      5;      5;      1 
   293;     -1;     -3;      5;      5;      5;      5;      1 
   294;     -1;     -3;      5;      5;      5;      5;      1 
   295;     -1;     -3;      5;      5;      5;      5;      1 
   296;     -1;     -3;      5;      5;      5;      5;      1 
   297;     -1;     -3;      5;      5;      5;      5;      1 
   298;     -1;     -3;      5;      5;      5;      5;      1 
   299;     -1;     -3;      5;      5;      5;      5;      1 
   300;     -1;     -3;      5;      5;      5;      5;      1 
   301;     -1;     -3;      5;      5;      5;      5;      1 
   302;     -1;     -3;      5;      5;      5;      5;      1 
   303;     -1;     -3;      5;      5;      5;      5;      1 
   304;     -1;     -3;      5;      5;      5;      5;      1 
   305;     -1;     -3;      5;      5;      5;      5;      1 
   306;     -1;     -3;      5;      5;      5;      5;      1 
   307;     -1;     -3;      5;      5;      5;      5;      1 
   308;     -1;     -3;      5;      5;      5;      5;      1 
   309;     -1;     -3;      5;      5;      5;      5;      1 
