tm; rg; carr
775366.114175;0.346272; -630041.944
776389.114175;0.346113; -631050.062
777412.114175;0.345952; -632058.426
778435.114175;0.345793; -633067.084
779458.114175;0.345632; -634075.961
780481.114175;0.345472; -635085.186
781504.114175;0.345311; -636094.790
782527.114175;0.345152; -637104.744
783550.114175;0.344991; -638114.995
784573.114175;0.344831; -639125.635
785596.114175;0.344670; -640136.642
786619.114175;0.344510; -641148.131
787642.114175;0.344350; -642159.799
788665.114175;0.344189; -643171.650
789688.114175;0.344028; -644183.879
790711.114175;0.343868; -645196.415
791734.114175;0.343706; -646209.318
792757.114175;0.343545; -647222.527
793780.114175;0.343385; -648236.259
794803.114175;0.343223; -649250.276
795826.114175;0.343063; -650264.772
796849.114175;0.342901; -651279.462
797872.114175;0.342741; -652294.472
798895.114175;0.342579; -653309.811
799918.114175;0.342418; -654325.521
800941.114175;0.342257; -655341.439
801964.114175;0.342096; -656357.690
802987.114175;0.341935; -657374.292
804010.114175;0.341774; -658391.236
805033.114175;0.341613; -659408.354
806056.114175;0.341451; -660425.733
807079.114175;0.341290; -661443.420
808102.114175;0.341128; -662461.367
809125.114175;0.340966; -663479.894
810148.114175;0.340805; -664499.001
811171.114175;0.340643; -665518.285
812194.114175;0.340480; -666537.783
813217.114175;0.340320; -667557.596
814240.114175;0.340156; -668577.756
815263.114175;0.339995; -669598.272
816286.114175;0.339833; -670618.949
817309.114175;0.339671; -671639.733
818332.114175;0.339510; -672660.939
819355.114175;0.339346; -673682.527
820378.114175;0.339186; -674704.462
821401.114175;0.339022; -675726.702
822424.114175;0.338860; -676749.250
823447.114175;0.338699; -677771.975
824470.114175;0.338536; -678794.824
825493.114175;0.338374; -679818.070
826516.114175;0.338211; -680841.700
827539.114175;0.338050; -681865.461
828562.114175;0.337887; -682889.554
829585.114175;0.337724; -683913.919
830608.114175;0.337562; -684938.454
831631.114175;0.337399; -685963.383
832654.114175;0.337237; -686988.699
833677.114175;0.337074; -688014.233
834700.114175;0.336911; -689040.030
835723.114175;0.336748; -690066.156
836746.114175;0.336585; -691092.663
837769.114175;0.336422; -692119.677
838792.114175;0.336260; -693147.047
839815.114175;0.336095; -694174.732
840838.114175;0.335933; -695202.740
841861.114175;0.335769; -696231.056
842884.114175;0.335607; -697259.827
843907.114175;0.335442; -698288.978
844930.114175;0.335278; -699318.378
845953.114175;0.335116; -700348.077
846976.114175;0.334952; -701378.213
847999.114175;0.334788; -702408.710
849022.114175;0.334625; -703439.686
850045.114175;0.334462; -704471.098
851068.114175;0.334298; -705503.023
852091.114175;0.334134; -706535.315
853114.114175;0.333970; -707568.016
854137.114175;0.333806; -708601.173
855160.114175;0.333643; -709634.587
