tow; prn16; p-rng1; phase1; dopp1(carr); dopp1(range); bias1(Hz); p-rng2; phase2; dopp2(carr); dopp2(range); bias2(Hz); dopp1(eph); dopp2(eph); ebias1(ph); ebias1(rg); resp; resc 
151243.679; 4; -77039.2177734; -996745.5126953125; 776.89453125; 772.11; 4.78408; 0; 0; -0; -0; 0; 854.855; 638.365; -77.96; -82.7441; 0.53328; -0.371616
151244.679; 4; -77188.3964844; -997521.76953125; 776.2568359375; 783.939; -7.68258; 0; 0; -0; -0; 0; 854.331; 637.975; -78.0744; -70.3918; -0.635534; -0.0791464
151245.679; 4; -77335.4140625; -998297.21484375; 775.4453125; 772.583; 2.86272; 0; 0; -0; -0; 0; 853.808; 637.584; -78.3626; -81.2253; -0.00176616; 0.00855224
151246.679; 4; -77484.2285156; -999073.4599609375; 776.2451171875; 782.025; -5.78011; 0; 0; -0; -0; 0; 853.285; 637.193; -77.0395; -71.2593; -0.883613; 0.224681
151247.679; 4; -77631.2919922; -999849.8505859375; 776.390625; 772.824; 3.56684; 0; 0; -0; -0; 0; 852.761; 636.802; -76.3706; -79.9374; -0.436591; -0.00813287
151248.679; 4; -77779.4980469; -1000625.1142578125; 775.263671875; 778.828; -3.5644; 0; 0; -0; -0; 0; 852.238; 636.411; -76.9742; -73.4098; -0.939808; 0.165191
151249.679; 4; -77927.6308594; -1001399.1357421875; 774.021484375; 778.443; -4.4217; 0; 0; -0; -0; 0; 851.715; 636.021; -77.693; -73.2713; -1.50747; 0.436758
151250.679; 4; -78077.4462891; -1002172.5654296875; 773.4296875; 787.285; -13.8557; 0; 0; -0; -0; 0; 851.191; 635.63; -77.7615; -63.9057; -4.09189; 0.484153
151251.679; 4; -78221.0742188; -1002945.3974609375; 772.83203125; 754.77; 18.0622; 0; 0; -0; -0; 0; 850.668; 635.239; -77.8358; -95.898; -0.608996; 0.528638
151252.679; 4; -78366.9355469; -1003718.7607421875; 773.36328125; 766.506; 6.85683; 0; 0; -0; -0; 0; 850.145; 634.848; -76.7812; -83.6381; 0.503653; 0.335461
151253.679; 4; -78513.8046875; -1004491.5283203125; 772.767578125; 771.803; 0.965035; 0; 0; -0; -0; 0; 849.621; 634.457; -76.8536; -77.8186; 0.544648; 0.191957
151254.679; 4; -78658.2636719; -1005263.1806640625; 771.65234375; 759.137; 12.5153; 0; 0; -0; -0; 0; 849.098; 634.067; -77.4454; -89.9607; 2.64434; -0.0886416
151255.679; 4; -78808.453125; -1006034.58203125; 771.4013671875; 789.251; -17.8495; 0; 0; -0; -0; 0; 848.574; 633.676; -77.173; -59.3235; -0.302993; 0.358342
151256.679; 4; -78949.7636719; -1006805.8212890625; 771.2392578125; 742.592; 28.6473; 0; 0; -0; -0; 0; 848.051; 633.285; -76.8118; -105.459; 4.17165; -0.617158
151257.679; 4; -79097.7792969; -1007575.71875; 769.8974609375; 777.827; -7.9299; 0; 0; -0; -0; 0; 847.528; 632.894; -77.6302; -69.7003; 3.13955; -0.140444
151258.679; 4; -79245.3828125; -1008345.306640625; 769.587890625; 775.662; -6.07382; 0; 0; -0; -0; 0; 847.004; 632.503; -77.4164; -71.3426; 2.29802; 0.173063
151259.679; 4; -79391.5888672; -1009114.26953125; 768.962890625; 768.318; 0.644888; 0; 0; -0; -0; 0; 846.481; 632.112; -77.5181; -78.163; 2.44379; 0.195674
151260.679; 4; -79535.1074219; -1009882.6328125; 768.36328125; 754.195; 14.1682; 0; 0; -0; -0; 0; 845.958; 631.722; -77.5943; -91.7625; 4.39656; -0.546175
151261.679; 4; -79682.5400391; -1010650.3681640625; 767.7353515625; 774.764; -7.02828; 0; 0; -0; -0; 0; 845.434; 631.331; -77.6989; -70.6706; 3.26943; -0.33557
151262.679; 4; -79827.0136719; -1011417.666015625; 767.2978515625; 759.214; 8.08379; 0; 0; -0; -0; 0; 844.911; 630.94; -77.613; -85.6968; 4.25369; -0.888493
151263.679; 4; -79972.9892578; -1012184.419921875; 766.75390625; 767.107; -0.352975; 0; 0; -0; -0; 0; 844.387; 630.549; -77.6336; -77.2806; 4.17681; -0.89675
151264.679; 4; -80119.6474609; -1012950.6943359375; 766.2744140625; 770.694; -4.41965; 0; 0; -0; -0; 0; 843.864; 630.158; -77.5897; -73.1701; 3.4622; -0.769859
151265.679; 4; -80264.4960938; -1013716.13671875; 765.4423828125; 761.185; 4.25768; 0; 0; -0; -0; 0; 843.341; 629.767; -77.8983; -82.156; 4.28124; -0.759749
151266.679; 4; -80409.8505859; -1014481.076171875; 764.939453125; 763.843; 1.09644; 0; 0; -0; -0; 0; 842.817; 629.377; -77.8778; -78.9743; 4.85475; -0.392986
151267.679; 4; -80555.3505859; -1015245.3916015625; 764.3154296875; 764.608; -0.292231; 0; 0; -0; -0; 0; 842.294; 628.986; -77.9785; -77.6863; 4.50495; -0.684873
151268.679; 4; -80702.3359375; -1016009.501953125; 764.1103515625; 772.413; -8.30288; 0; 0; -0; -0; 0; 841.771; 628.595; -77.6602; -69.3573; 3.32274; -0.286299
151269.679; 4; -80848.9423828; -1016773.3671875; 763.865234375; 770.422; -6.55684; 0; 0; -0; -0; 0; 841.247; 628.204; -77.3819; -70.8251; 2.28525; -0.0769609
151270.679; 4; -80992.3203125; -1017536.599609375; 763.232421875; 753.456; 9.77632; 0; 0; -0; -0; 0; 840.724; 627.813; -77.4913; -87.2676; 3.84048; -0.380515
