----------------
prog start
hv ver: 3.13
code_test 
	 code_len = 120, chip_div = 1, spacing_len = 1, pcode[0] = 0x0030305F 
	 code_ctrl = 0x00000077
  |    21   |   1   |   1  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    21   |   1   |   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   ||   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   |  OK
  |    22   |   0   |   1  1  0  0  0   |   3 -3 -3 -3 -3   |   1   ||   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   |  OK
  |    22   |   0   |   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   ||   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   |  OK
  |    23   |   0   |   0  1  1  0  0   |   3  3 -3 -3 -3   |   1   ||   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   |  OK
  |    23   |   0   |   0  1  1  0  0   |  -3  3  3 -3 -3   |   0   ||   0  1  1  0  0   |  -3  3  3 -3 -3   |   0   |  OK
  |    24   |   0   |   0  0  1  1  0   |  -3  3  3 -3 -3   |   0   ||   0  1  1  0  0   |  -3  3  3 -3 -3   |   0   |  OK
  |    24   |   0   |   0  0  1  1  0   |  -3 -3  3  3 -3   |   0   ||   0  0  1  1  0   |  -3 -3  3  3 -3   |   0   |  OK
  |    25   |   0   |   0  0  0  1  1   |  -3 -3  3  3 -3   |   0   ||   0  0  1  1  0   |  -3 -3  3  3 -3   |   0   |  OK
  |    25   |   0   |   0  0  0  1  1   |  -3 -3 -3  3  3   |   0   ||   0  0  0  1  1   |  -3 -3 -3  3  3   |   0   |  OK
  |    26   |   0   |   0  0  0  0  1   |  -3 -3 -3  3  3   |   0   ||   0  0  0  1  1   |  -3 -3 -3  3  3   |   0   |  OK
  |    26   |   0   |   0  0  0  0  1   |  -3 -3 -3 -3  3   |   0   ||   0  0  0  0  1   |  -3 -3 -3 -3  3   |   0   |  OK
  |    27   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3  3   |   0   ||   0  0  0  0  1   |  -3 -3 -3 -3  3   |   0   |  OK
  |    27   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    28   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    28   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    29   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    29   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    30   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    30   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    31   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    31   |   0   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    32   |   1   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    32   |   1   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    33   |   1   |   1  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
  |    33   |   1   |   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   ||   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   |  OK
  |    34   |   1   |   1  1  0  0  0   |   3 -3 -3 -3 -3   |   1   ||   1  0  0  0  0   |   3 -3 -3 -3 -3   |   1   |  OK
  |    34   |   1   |   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   ||   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   |  OK
  |    35   |   1   |   1  1  1  0  0   |   3  3 -3 -3 -3   |   1   ||   1  1  0  0  0   |   3  3 -3 -3 -3   |   1   |  OK
  |    35   |   1   |   1  1  1  0  0   |   3  3  3 -3 -3   |   1   ||   1  1  1  0  0   |   3  3  3 -3 -3   |   1   |  OK
  |    36   |   1   |   1  1  1  1  0   |   3  3  3 -3 -3   |   1   ||   1  1  1  0  0   |   3  3  3 -3 -3   |   1   |  OK
  |    36   |   1   |   1  1  1  1  0   |   3  3  3  3 -3   |   1   ||   1  1  1  1  0   |   3  3  3  3 -3   |   1   |  OK
  |    37   |   0   |   1  1  1  1  1   |   3  3  3  3 -3   |   1   ||   1  1  1  1  0   |   3  3  3  3 -3   |   1   |  OK
  |    37   |   0   |   1  1  1  1  1   |   3  3  3  3  3   |   1   ||   1  1  1  1  1   |   3  3  3  3  3   |   1   |  OK
  |    38   |   1   |   0  1  1  1  1   |   3  3  3  3  3   |   1   ||   1  1  1  1  1   |   3  3  3  3  3   |   1   |  OK
  |    38   |   1   |   0  1  1  1  1   |  -3  3  3  3  3   |   0   ||   0  1  1  1  1   |  -3  3  3  3  3   |   0   |  OK
  |    39   |   0   |   1  0  1  1  1   |  -3  3  3  3  3   |   0   ||   0  1  1  1  1   |  -3  3  3  3  3   |   0   |  OK
  |    39   |   0   |   1  0  1  1  1   |   3 -3  3  3  3   |   1   ||   1  0  1  1  1   |   3 -3  3  3  3   |   1   |  OK
  |    40   |   0   |   0  1  0  1  1   |   3 -3  3  3  3   |   1   ||   1  0  1  1  1   |   3 -3  3  3  3   |   1   |  OK
  |    40   |   0   |   0  1  0  1  1   |  -3  3 -3  3  3   |   0   ||   0  1  0  1  1   |  -3  3 -3  3  3   |   0   |  OK
  |    41   |   0   |   0  0  1  0  1   |  -3  3 -3  3  3   |   0   ||   0  1  0  1  1   |  -3  3 -3  3  3   |   0   |  OK
  |    41   |   0   |   0  0  1  0  1   |  -3 -3  3 -3  3   |   0   ||   0  0  1  0  1   |  -3 -3  3 -3  3   |   0   |  OK
  |    42   |   0   |   0  0  0  1  0   |  -3 -3  3 -3  3   |   0   ||   0  0  1  0  1   |  -3 -3  3 -3  3   |   0   |  OK
  |    42   |   0   |   0  0  0  1  0   |  -3 -3 -3  3 -3   |   0   ||   0  0  0  1  0   |  -3 -3 -3  3 -3   |   0   |  OK
  |    43   |   0   |   0  0  0  0  1   |  -3 -3 -3  3 -3   |   0   ||   0  0  0  1  0   |  -3 -3 -3  3 -3   |   0   |  OK
  |    43   |   0   |   0  0  0  0  1   |  -3 -3 -3 -3  3   |   0   ||   0  0  0  0  1   |  -3 -3 -3 -3  3   |   0   |  OK
  |    44   |   1   |   0  0  0  0  0   |  -3 -3 -3 -3  3   |   0   ||   0  0  0  0  1   |  -3 -3 -3 -3  3   |   0   |  OK
  |    44   |   1   |   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   ||   0  0  0  0  0   |  -3 -3 -3 -3 -3   |   0   |  OK
