----------------
prog start
hv ver: 3.13
code_test 
	 code_len = 120, chip_div = 1, spacing_len = 1, pcode[0] = 0x0030305F 
	 code_ctrl = 0x00000077
-3  3  3  3  3   |   0   |  -3  3  3  3  3   |   1   |    70   |   0  1  1  1  1   |   0   |  OK
-3  3  3  3  3   |   0   |  -3  3  3  3  3   |   0   |    71   |   1  0  1  1  1   |   0   |  OK
 3 -3  3  3  3   |   1   |   3 -3  3  3  3   |   0   |    71   |   1  0  1  1  1   |   1   |  OK
 3 -3  3  3  3   |   1   |   3 -3  3  3  3   |   0   |    72   |   0  1  0  1  1   |   1   |  OK
-3  3 -3  3  3   |   0   |  -3  3 -3  3  3   |   0   |    72   |   0  1  0  1  1   |   0   |  OK
-3  3 -3  3  3   |   0   |  -3  3 -3  3  3   |   0   |    73   |   0  0  1  0  1   |   0   |  OK
-3 -3  3 -3  3   |   0   |  -3 -3  3 -3  3   |   0   |    73   |   0  0  1  0  1   |   0   |  OK
-3 -3  3 -3  3   |   0   |  -3 -3  3 -3  3   |   0   |    74   |   0  0  0  1  0   |   0   |  OK
-3 -3 -3  3 -3   |   0   |  -3 -3 -3  3 -3   |   0   |    74   |   0  0  0  1  0   |   0   |  OK
-3 -3 -3  3 -3   |   0   |  -3 -3 -3  3 -3   |   0   |    75   |   0  0  0  0  1   |   0   |  OK
-3 -3 -3 -3  3   |   0   |  -3 -3 -3 -3  3   |   0   |    75   |   0  0  0  0  1   |   0   |  OK
-3 -3 -3 -3  3   |   0   |  -3 -3 -3 -3  3   |   1   |    76   |   0  0  0  0  0   |   0   |  OK
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   1   |    76   |   0  0  0  0  0   |   0   |  OK
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   1   |    77   |   1  0  0  0  0   |   0   |  OK
 3 -3 -3 -3 -3   |   1   |   3 -3 -3 -3 -3   |   1   |    77   |   1  0  0  0  0   |   1   |  OK
 3 -3 -3 -3 -3   |   1   |   3 -3 -3 -3 -3   |   0   |    78   |   1  1  0  0  0   |   1   |  OK
 3  3 -3 -3 -3   |   1   |   3  3 -3 -3 -3   |   0   |    78   |   1  1  0  0  0   |   1   |  OK
