----------------
prog start
hv ver: 3.13
accu test 
	 code_len = 1023, chip_div = 2, spacing_len = 1, pcode[0] = 0x23C495A7 
	 code_ctrl = 0x040003FE
  |    33   |   1   |   0  0  0  1  0   |   -107   -99    23    31    53    61     3    11    -7     1   |   0   ||    14  |   0  0  0  0  1   |    -20   -30   -60    50   190   |   0   |  ERR
  |    33   |   1   |   0  0  0  1  0   |   -112  -104    18    26    48    56     8    16   -12    -4   |   0   ||    15  |   1  0  0  0  0   |    -25   -35   -65    45   195   |   0   |  ERR
  |    33   |   1   |   0  0  0  1  0   |   -117  -109    13    21    43    51    13    21   -17    -9   |   0   ||    15  |   1  0  0  0  0   |    -20   -40   -70    40   190   |   0   |  ERR
  |    34   |   0   |   1  0  0  0  1   |   -122  -114     8    16    38    46    18    26   -22   -14   |   0   ||    15  |   1  1  0  0  0   |    -15   -45   -75    35   185   |   0   |  ERR
  |    34   |   0   |   1  0  0  0  1   |   -117  -109     3    11    33    41    13    21   -17    -9   |   0   ||    15  |   1  1  0  0  0   |    -10   -40   -80    30   180   |   0   |  ERR
  |    35   |   1   |   0  1  0  0  0   |   -122  -114     8    16    38    46    18    26   -22   -14   |   0   ||    16  |   0  1  1  0  0   |     -5   -35   -85    25   175   |   0   |  ERR
  |    35   |   1   |   0  1  0  0  0   |   -117  -109     3    11    43    51    23    31   -17    -9   |   0   ||    16  |   0  1  1  0  0   |      0   -40   -90    30   180   |   0   |  ERR
  |    36   |   0   |   1  0  1  0  0   |   -112  -104    -2     6    48    56    28    36   -12    -4   |   0   ||    16  |   0  0  1  1  0   |      5   -45   -95    35   185   |   0   |  ERR
  |    36   |   0   |   1  0  1  0  0   |   -117  -109     3    11    43    51    33    41    -7     1   |   0   ||    16  |   0  0  1  1  0   |     10   -40  -100    30   190   |   0   |  ERR
  |    37   |   1   |   0  1  0  1  0   |   -112  -104    -2     6    48    56    28    36   -12    -4   |   0   ||    17  |   0  0  0  1  1   |     15   -35  -105    25   195   |   0   |  ERR
