time;bias-band1;bias-band2
244609.64;-116.962481435;-338.396347107
244610.64;-117.429860634;-338.199447496
244611.64;-117.135717207;-338.002547514
244612.64;-117.496446878;-337.805641124
244613.64;-117.394451482;-337.608711925
244614.64;-117.082546391;-337.41182074
244615.64;-117.315907671;-337.214895769
244616.64;-117.432647493;-337.017955822
244617.64;-117.64847961;-336.821067383
244618.64;-117.96445811;-336.624142539
244619.64;-117.563447835;-336.427219388
244620.64;-117.043301514;-336.230299478
244621.64;-116.373134226;-336.033363742
244622.64;-117.25882019;-335.836425344
244623.64;-116.98864903;-335.639487207
244624.64;-116.607164128;-335.442559661
244625.64;-117.233649939;-335.24560566
244626.64;-117.292792577;-335.048680573
244627.64;-117.258154635;-334.85173252
244628.64;-117.773692621;-334.654770682
244629.64;-117.603296229;-334.457810305
244630.64;-117.770624369;-334.260872199
244631.64;-116.769369264;-334.063911313
244632.64;-117.286278682;-333.866952618
244633.64;-117.553004903;-333.670002698
244634.64;-117.868330342;-333.473027732
244635.64;-117.93484595;-333.276066124
244636.64;-117.423409787;-333.079087298
244637.64;-117.647135951;-332.882113973
244638.64;-116.865237284;-332.685168625
244639.64;-116.576425191;-332.488166051
244640.64;-117.328644899;-332.291176877
244641.64;-118.148276051;-332.094209104
244642.64;-117.450314666;-331.897228753
244643.64;-117.632405944;-331.700230454
244644.64;-117.440500131;-331.503251346
244645.64;-117.130185698;-331.306235353
244646.64;-116.953698236;-331.109247818
244647.64;-117.599285843;-330.912264824
244648.64;-117.296578031;-330.71524095
244649.64;-117.394502191;-330.518251919
244650.64;-117.405481927;-330.321240144
244651.64;-116.879153519;-330.12422508
244652.64;-117.905972669;-329.927228796
244653.64;-117.26226255;-329.730214451
244654.64;-117.519719224;-329.533197372
244655.64;-116.822469382;-329.336164946
244656.64;-117.186393567;-329.139164642
244657.64;-117.124097106;-328.942127313
244658.64;-117.168836465;-328.745093595
244659.64;-117.396984264;-328.548067551
244660.64;-117.878225485;-328.351018221
244661.64;-118.104245289;-328.154007447
244662.64;-116.651908299;-327.956967351
244663.64;-116.911663279;-327.759916372
